Scenario,Date,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
actual,2017-08-27 13:00,0,21.6,36,12,182,90.2,63.6,403.3,8.1,91.2,26
actual,2017-08-28 13:00,0,22.7,56,18.2,192,88.6,65.8,410.4,8.8,93.9,28.1
actual,2017-08-29 13:00,2.5,17.2,87,11.6,235,62.6,55.2,416.5,0.8,82.9,3.6
actual,2017-08-30 13:00,4.3,10.4,72,12.9,345,50,39.1,408.7,0.3,63.1,0.6
actual,2017-08-31 13:00,0,14,43,8.9,159,73.6,40.9,414.2,1.1,65.5,4.1
actual,2017-09-01 13:00,0,19,50,25.7,189,84.6,42.6,419.4,7.3,68,20.8
actual,2017-09-02 13:00,2.5,16.7,80,14.4,291,65.7,36.5,424.1,1.1,60.1,3.8
actual,2017-09-03 13:00,0,18.6,58,14.9,256,80.1,38,429.1,2.4,62.2,8.3
actual,2017-09-04 13:00,3.6,11.1,71,17.5,274,59.9,28.6,423.1,1,49,2.7
actual,2017-09-05 13:00,3.5,9,93,20.3,335,38.8,21.1,417.2,0.1,37.5,0.1
actual,2017-09-06 13:00,2,12,60,6.8,321,53.2,19.6,421.1,0.3,35.1,0.4
actual,2017-09-07 13:00,0,11.4,72,10.7,154,67.4,20.2,424.8,1,36.2,2
actual,2017-09-08 13:00,2,15.8,45,10.6,253,72.8,19.5,429.4,1.2,35,2.5
actual,2017-09-09 13:00,0,19.6,42,27.4,228,86.1,21.7,434.6,9.8,38.5,19.2
actual,2017-09-10 13:00,0,21.5,54,16.7,184,86.8,23.5,440.2,6.3,41.5,14.3
actual,2017-09-11 13:00,0.8,21.2,40,32.8,261,88.1,25.9,445.7,17.2,45.2,30.7
-1,2017-08-27 13:00,0,20.2,45,6,180,89.9,63,403,5.7,90.6,20.4
-1,2017-08-28 13:00,0,23.6,48,13,220,89.9,65.7,410.3,8.1,93.8,26.5
-1,2017-08-29 13:00,0,21.3,66,8,350,87.1,67.3,417.1,4.2,95.9,16.8
-1,2017-08-30 13:00,10.6,14.7,54,10,360,54.5,35.6,382.8,0.4,57.7,0.8
-1,2017-08-31 13:00,0,16.8,41,7,210,77,37.7,388.8,1.2,60.7,4.3
-1,2017-09-01 13:00,0,21.6,36,19.3,196.8,88.2,40.3,394.4,8.7,64.2,22.9
-1,2017-09-02 13:00,12,16.3,92.5,21.3,267.6,33.3,19.2,355.6,0,33.8,0
-1,2017-09-03 13:00,3.3,21.1,43.6,19.1,288,68.9,16.2,354.2,1.6,29.1,3.2
-1,2017-09-04 13:00,5.4,9.3,78.3,17,294.9,46.2,10,342.4,0.2,18.7,0.2
-1,2017-09-05 13:00,3.9,7.8,80,21.6,334.4,43.1,6.6,336.7,0.2,12.6,0.1
-1,2017-09-06 13:00,1.6,7.3,66.3,18.2,332,56.7,6.6,339.7,0.8,12.5,0.6
-1,2017-09-07 13:00,0.4,10.6,42.7,11.3,276.2,75.3,7.8,343.3,1.4,14.7,1.2
-1,2017-09-08 13:00,0,17.9,37.2,24.3,239.6,86.8,9.9,348.2,9.2,18.4,12.6
-1,2017-09-09 13:00,0,22.6,44.8,0.9,26.6,88.1,12.2,354,3.4,22.5,6
-1,2017-09-10 13:00,0,24.3,49.8,12.4,274.3,88.2,14.5,360,6.2,26.3,11
-1,2017-09-11 13:00,10.1,7.8,69.6,17.1,22.3,45.9,7.5,330,0.2,14.2,0.2
-2,2017-08-27 13:00,0,20.2,45,6,180,89.9,63,403,5.7,90.6,20.4
-2,2017-08-28 13:00,0,23.6,48,13,220,89.9,65.7,410.3,8.1,93.8,26.5
-2,2017-08-29 13:00,0,21.3,66,8,350,87.1,67.3,417.1,4.2,95.9,16.8
-2,2017-08-30 13:00,10.6,14.7,54,10,360,54.5,35.6,382.8,0.4,57.7,0.8
-2,2017-08-31 13:00,0,16.8,41,7,210,77,37.7,388.8,1.2,60.7,4.3
-2,2017-09-01 13:00,0,22.9,51.1,20.5,183.7,85.9,39.8,394.6,6.7,63.6,19
