"FFMC","ROS"
0,2.01198381944575e-13
0.1,1.05125050615724e-12
0.2,1.1814866480007e-12
0.3,1.32726261830226e-12
0.4,1.49036400640687e-12
0.5,1.67276547025588e-12
0.6,1.87666497066597e-12
0.7,2.10449633145924e-12
0.8,2.35895732559585e-12
0.9,2.64303434899032e-12
1,2.96005008516941e-12
1.1,3.31365711767718e-12
1.2,3.70792725285202e-12
1.3,4.14733813725321e-12
1.4,4.63685742341929e-12
1.5,5.18197595540237e-12
1.6,5.78874695496895e-12
1.7,6.46387011654826e-12
1.8,7.21473205696628e-12
1.9,8.04948489884313e-12
2,8.97713059959966e-12
2.1,1.00075859379155e-11
2.2,1.11517737501218e-11
2.3,1.24217409811205e-11
2.4,1.38307520189082e-11
2.5,1.53934068270657e-11
2.6,1.7125772905345e-11
2.7,1.90455140351931e-11
2.8,2.11720709304529e-11
2.9,2.35268048008907e-11
3,2.61331824664199e-11
3.1,2.90169685702984e-11
3.2,3.22064683003948e-11
3.3,3.57327407252632e-11
3.4,3.96298536516192e-11
3.5,4.39351599609556e-11
3.6,4.86896253268069e-11
3.7,5.39381350972802e-11
3.8,5.97298400974657e-11
3.9,6.61185891209741e-11
4,7.31633131117718e-11
4.1,8.09284822626898e-11
4.2,8.94846295246828e-11
4.3,9.89088871218062e-11
4.4,1.09285535340833e-10
4.5,1.20706676384012e-10
4.6,1.33272922824493e-10
4.7,1.47094092477634e-10
4.8,1.62290088535859e-10
4.9,1.78991690850051e-10
5,1.97341600747037e-10
5.1,2.17495361189596e-10
5.2,2.3962251183899e-10
5.3,2.63907798168495e-10
5.4,2.90552405934605e-10
5.5,3.19775429259441e-10
5.6,3.51815330848813e-10
5.7,3.86931568815855e-10
5.8,4.25406343072437e-10
5.9,4.67546546645546e-10
6,5.13685697764827e-10
6.1,5.64186283392461e-10
6.2,6.19441987650182e-10
6.3,6.79880327642671e-10
6.4,7.45965451919794e-10
6.5,8.18200920301288e-10
6.6,8.9713313637523e-10
6.7,9.83354583122546e-10
6.8,1.07750758962725e-09
6.9,1.18028836463839e-09
7,1.29245107866656e-09
7.1,1.41481268355489e-09
7.2,1.54825765848587e-09
7.3,1.69374335238647e-09
7.4,1.8523056420923e-09
7.5,2.02506513118838e-09
7.6,2.21323353823769e-09
7.7,2.41812082097168e-09
7.8,2.64114265234279e-09
7.9,2.88382833473191e-09
8,3.14782982117738e-09
8.1,3.4349305685219e-09
8.2,3.74705560036909e-09
8.3,4.08628216679473e-09
8.4,4.45485095633321e-09
8.5,4.85517848457992e-09
